                        Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1900,-.35,-.05,.01,-.08,-.08,-.09,-.12,-.08,-.05,.10,-.06,-.06,-.08,-.09,-.21,-.05,-.10,.00
1901,-.21,-.10,.06,-.02,-.15,-.12,-.14,-.20,-.22,-.28,-.17,-.27,-.15,-.13,-.12,-.03,-.15,-.23
1902,-.17,-.07,-.28,-.28,-.32,-.30,-.28,-.29,-.29,-.28,-.35,-.41,-.28,-.26,-.17,-.29,-.29,-.31
1903,-.23,-.05,-.22,-.40,-.39,-.42,-.35,-.45,-.49,-.48,-.42,-.50,-.37,-.36,-.23,-.34,-.40,-.46
1904,-.63,-.57,-.48,-.49,-.51,-.48,-.51,-.48,-.56,-.39,-.18,-.33,-.47,-.48,-.57,-.50,-.49,-.37
1905,-.35,-.59,-.22,-.34,-.29,-.28,-.26,-.20,-.20,-.25,-.07,-.13,-.26,-.28,-.42,-.28,-.25,-.17
1906,-.28,-.29,-.18,-.05,-.26,-.20,-.23,-.19,-.29,-.20,-.37,-.14,-.22,-.22,-.23,-.16,-.21,-.29
1907,-.42,-.50,-.27,-.36,-.47,-.42,-.35,-.33,-.35,-.23,-.46,-.46,-.39,-.36,-.35,-.37,-.37,-.35
1908,-.43,-.32,-.56,-.44,-.38,-.38,-.35,-.45,-.36,-.44,-.51,-.48,-.43,-.42,-.40,-.46,-.39,-.44
1909,-.72,-.47,-.55,-.58,-.54,-.51,-.45,-.33,-.38,-.39,-.32,-.55,-.48,-.48,-.56,-.56,-.43,-.37
1910,-.41,-.40,-.50,-.42,-.34,-.38,-.34,-.36,-.39,-.40,-.54,-.67,-.43,-.42,-.45,-.42,-.36,-.44
1911,-.62,-.57,-.61,-.53,-.51,-.49,-.41,-.44,-.41,-.26,-.21,-.21,-.44,-.48,-.62,-.55,-.45,-.29
1912,-.25,-.14,-.38,-.17,-.21,-.23,-.42,-.54,-.58,-.57,-.38,-.43,-.36,-.34,-.20,-.25,-.40,-.51
1913,-.40,-.45,-.43,-.39,-.44,-.45,-.36,-.33,-.35,-.32,-.19,-.02,-.34,-.38,-.43,-.42,-.38,-.29
1914,.05,-.10,-.24,-.29,-.21,-.25,-.23,-.16,-.17,-.04,-.15,-.04,-.15,-.15,-.02,-.25,-.22,-.12
1915,-.20,-.04,-.10,.07,-.06,-.22,-.13,-.22,-.21,-.24,-.13,-.22,-.14,-.13,-.09,-.03,-.19,-.19
1916,-.12,-.14,-.28,-.30,-.34,-.49,-.37,-.28,-.36,-.33,-.46,-.82,-.36,-.31,-.16,-.31,-.38,-.38
1917,-.57,-.63,-.64,-.54,-.55,-.43,-.26,-.22,-.23,-.44,-.33,-.67,-.46,-.47,-.67,-.58,-.30,-.33
1918,-.47,-.34,-.25,-.43,-.43,-.36,-.31,-.31,-.17,-.06,-.11,-.29,-.29,-.33,-.49,-.37,-.33,-.11
1919,-.20,-.24,-.21,-.12,-.28,-.36,-.29,-.33,-.25,-.20,-.41,-.42,-.27,-.26,-.24,-.20,-.32,-.29
1920,-.24,-.26,-.12,-.24,-.27,-.36,-.30,-.27,-.22,-.27,-.26,-.46,-.27,-.27,-.31,-.21,-.31,-.25
1921,-.05,-.18,-.23,-.30,-.30,-.27,-.15,-.26,-.19,-.03,-.14,-.18,-.19,-.21,-.23,-.28,-.23,-.12
1922,-.33,-.44,-.15,-.23,-.33,-.30,-.27,-.32,-.36,-.33,-.15,-.19,-.28,-.28,-.32,-.24,-.30,-.28
1923,-.28,-.39,-.34,-.40,-.33,-.29,-.31,-.33,-.31,-.14,-.02,-.04,-.26,-.28,-.28,-.36,-.31,-.16
1924,-.23,-.24,-.08,-.31,-.18,-.26,-.29,-.36,-.32,-.35,-.21,-.43,-.27,-.24,-.17,-.19,-.30,-.29
1925,-.38,-.40,-.28,-.25,-.29,-.32,-.26,-.20,-.20,-.17,.05,.06,-.22,-.26,-.40,-.27,-.26,-.11
1926,.21,.03,.11,-.12,-.23,-.26,-.27,-.13,-.14,-.11,-.05,-.29,-.10,-.08,.10,-.08,-.22,-.10
1927,-.27,-.18,-.39,-.31,-.25,-.27,-.18,-.24,-.13,-.01,-.05,-.33,-.22,-.21,-.24,-.31,-.23,-.06
1928,-.01,-.09,-.25,-.27,-.29,-.38,-.19,-.22,-.21,-.19,-.09,-.16,-.20,-.21,-.14,-.27,-.26,-.16
1929,-.45,-.58,-.33,-.41,-.38,-.43,-.37,-.32,-.25,-.14,-.11,-.54,-.36,-.33,-.40,-.37,-.38,-.17
1930,-.29,-.27,-.11,-.25,-.24,-.22,-.21,-.15,-.16,-.12,.17,-.06,-.16,-.20,-.37,-.20,-.19,-.03
1931,-.11,-.21,-.11,-.23,-.20,-.08,-.04,-.04,-.07,.05,-.05,-.06,-.10,-.10,-.13,-.18,-.05,-.03
1932,.14,-.17,-.18,-.06,-.18,-.29,-.25,-.22,-.11,-.09,-.27,-.26,-.16,-.14,-.03,-.14,-.25,-.16
1933,-.23,-.29,-.30,-.24,-.29,-.34,-.21,-.23,-.30,-.25,-.30,-.44,-.29,-.27,-.26,-.28,-.26,-.28
1934,-.21,-.03,-.29,-.31,-.10,-.15,-.11,-.12,-.15,-.07,.03,-.02,-.13,-.16,-.23,-.23,-.13,-.06
1935,-.34,.14,-.14,-.36,-.29,-.27,-.22,-.22,-.22,-.06,-.26,-.17,-.20,-.19,-.07,-.27,-.24,-.18
1936,-.28,-.38,-.22,-.20,-.17,-.22,-.10,-.13,-.09,-.03,.01,-.01,-.15,-.16,-.28,-.19,-.15,-.04
1937,-.07,.03,-.21,-.16,-.05,-.05,-.04,.01,.08,.09,.08,-.07,-.03,-.03,-.02,-.14,-.03,.08
1938,.08,.03,.09,.06,-.10,-.17,-.10,-.06,.00,.15,.08,-.13,-.01,.00,.01,.02,-.11,.07
1939,-.05,-.06,-.18,-.09,-.05,-.07,-.06,-.06,-.07,-.04,.07,.43,-.02,-.07,-.08,-.10,-.06,-.01
1940,.00,.08,.09,.18,.11,.11,.12,.07,.15,.11,.17,.31,.13,.14,.17,.13,.10,.14
1941,.18,.31,.10,.16,.17,.13,.22,.15,.02,.35,.23,.22,.19,.19,.27,.14,.17,.20
1942,.29,.03,.05,.10,.11,.05,.00,-.04,-.03,.01,.10,.13,.07,.07,.18,.08,.01,.02
1943,-.01,.17,-.04,.11,.07,-.05,.08,.01,.05,.23,.20,.24,.09,.08,.10,.05,.01,.16
1944,.36,.24,.26,.19,.18,.15,.18,.18,.27,.26,.11,.03,.20,.22,.28,.21,.17,.22
1945,.10,.00,.06,.19,.05,.00,.03,.26,.20,.18,.07,-.07,.09,.10,.05,.10,.10,.15
1946,.15,.02,.01,.05,-.07,-.21,-.13,-.20,-.08,-.08,-.05,-.31,-.07,-.05,.03,.00,-.18,-.07
1947,-.07,-.08,.06,.06,-.02,-.02,-.04,-.07,-.13,.07,.03,-.14,-.03,-.04,-.15,.03,-.05,-.01
1948,.06,-.15,-.25,-.12,-.01,-.05,-.11,-.12,-.14,-.05,-.12,-.24,-.11,-.10,-.07,-.12,-.09,-.11
1949,.07,-.14,-.02,-.11,-.10,-.27,-.13,-.12,-.15,-.07,-.10,-.18,-.11,-.12,-.10,-.08,-.18,-.10
1950,-.26,-.27,-.08,-.21,-.11,-.05,-.09,-.16,-.11,-.20,-.34,-.21,-.17,-.17,-.24,-.13,-.10,-.22
1951,-.34,-.41,-.20,-.14,.00,-.06,-.01,.06,.05,.08,-.01,.16,-.07,-.10,-.32,-.11,.00,.04
1952,.11,.11,-.08,.03,-.03,-.03,.04,.05,.07,.00,-.13,-.02,.01,.02,.13,-.03,.02,-.02
1953,.08,.15,.11,.19,.11,.11,.01,.05,.04,.08,-.03,.05,.08,.07,.07,.14,.06,.03
1954,-.24,-.10,-.15,-.14,-.20,-.19,-.19,-.17,-.10,-.02,.08,-.18,-.13,-.11,-.10,-.16,-.18,-.01
1955,.13,-.16,-.32,-.22,-.20,-.14,-.11,.02,-.11,-.05,-.25,-.28,-.14,-.13,-.07,-.25,-.08,-.14
1956,-.13,-.24,-.21,-.27,-.29,-.16,-.09,-.26,-.19,-.23,-.15,-.06,-.19,-.21,-.22,-.26,-.17,-.19
1957,-.09,-.03,-.04,.01,.10,.16,.03,.13,.08,.00,.07,.15,.05,.03,-.06,.02,.11,.05
1958,.39,.21,.09,.01,.05,-.07,.06,-.03,-.02,.04,.02,.01,.06,.08,.25,.05,-.01,.02
1959,.08,.07,.17,.14,.05,.03,.03,.00,-.06,-.06,-.08,.00,.03,.03,.05,.12,.02,-.07
1960,.00,.15,-.34,-.15,-.08,-.04,-.04,.03,.06,.05,-.11,.19,-.02,-.04,.05,-.19,-.02,.00
1961,.07,.19,.10,.12,.13,.11,.01,.01,.08,.02,.03,-.16,.06,.09,.15,.12,.04,.05
1962,.06,.15,.11,.06,-.07,.05,.02,-.02,.02,.02,.06,-.02,.04,.02,.02,.03,.02,.03
1963,-.03,.19,-.13,-.07,-.06,.03,.07,.22,.18,.14,.14,-.03,.05,.05,.04,-.09,.11,.15
1964,-.09,-.10,-.22,-.32,-.25,-.04,-.05,-.21,-.30,-.31,-.22,-.30,-.20,-.18,-.07,-.26,-.10,-.28
1965,-.08,-.17,-.12,-.20,-.11,-.08,-.14,-.05,-.14,-.05,-.06,-.08,-.11,-.13,-.18,-.14,-.09,-.09
1966,-.19,-.05,.03,-.14,-.12,.00,.08,-.08,-.03,-.16,-.01,-.03,-.06,-.06,-.11,-.08,.00,-.07
1967,-.08,-.21,.05,-.04,.11,-.08,.03,-.01,-.05,.10,-.04,-.05,-.02,-.02,-.10,.04,-.02,.00
1968,-.26,-.15,.20,-.06,-.13,-.08,-.13,-.08,-.17,.09,-.05,-.14,-.08,-.07,-.15,.00,-.09,-.05
1969,-.11,-.17,.00,.17,.18,.04,-.04,.04,.08,.10,.12,.24,.05,.02,-.14,.12,.01,.10
1970,.08,.22,.06,.05,-.04,-.03,.01,-.10,.11,.02,.02,-.12,.02,.05,.18,.02,-.04,.05
1971,-.03,-.16,-.18,-.07,-.05,-.17,-.08,-.01,-.06,-.04,-.07,-.08,-.08,-.09,-.10,-.10,-.08,-.06
1972,-.22,-.18,.02,.00,-.03,.04,.01,.16,.02,.08,.02,.17,.01,-.01,-.16,.00,.07,.04
1973,.28,.33,.29,.27,.22,.19,.12,.05,.09,.10,.05,-.06,.16,.18,.26,.26,.12,.08
1974,-.10,-.27,-.05,-.11,-.04,-.05,-.03,.10,-.08,-.06,-.07,-.08,-.07,-.07,-.14,-.07,.01,-.07
1975,.10,.08,.12,.04,.16,-.01,-.01,-.17,-.03,-.12,-.17,-.17,-.01,-.01,.03,.11,-.06,-.11
1976,-.03,-.06,-.22,-.07,-.21,-.12,-.10,-.12,-.07,-.24,-.06,.11,-.10,-.12,-.09,-.16,-.12,-.12
1977,.18,.22,.24,.27,.33,.27,.20,.18,.02,.03,.16,.03,.18,.18,.17,.28,.22,.07
1978,.06,.10,.19,.17,.09,-.01,.04,-.13,.06,.03,.14,.08,.07,.06,.06,.15,-.04,.08
1979,.08,-.10,.19,.15,.03,.14,.04,.17,.25,.26,.29,.48,.16,.13,.02,.12,.11,.26
1980,.30,.40,.30,.30,.35,.20,.22,.18,.20,.13,.30,.22,.26,.28,.39,.32,.20,.21
1981,.52,.42,.48,.32,.24,.29,.32,.35,.15,.12,.23,.41,.32,.31,.39,.35,.32,.17
1982,.05,.16,.03,.15,.18,.06,.14,.03,.14,.13,.17,.42,.14,.14,.20,.12,.08,.15
1983,.53,.42,.41,.27,.33,.22,.18,.35,.37,.16,.30,.17,.31,.33,.46,.34,.25,.28
1984,.31,.14,.26,.06,.32,.02,.19,.19,.21,.13,.07,-.05,.15,.17,.21,.21,.13,.14
1985,.22,-.04,.17,.12,.14,.15,.04,.16,.13,.11,.05,.13,.11,.10,.05,.14,.12,.10
1986,.27,.36,.30,.22,.21,.12,.11,.15,.03,.15,.11,.13,.18,.18,.26,.24,.13,.09
1987,.32,.43,.18,.24,.25,.34,.40,.24,.35,.32,.29,.46,.32,.29,.30,.22,.33,.32
1988,.56,.44,.51,.42,.43,.39,.32,.38,.36,.37,.12,.28,.38,.40,.49,.46,.37,.28
1989,.12,.30,.36,.29,.17,.16,.33,.33,.35,.29,.19,.37,.27,.26,.23,.27,.28,.27
1990,.41,.43,.80,.56,.45,.39,.46,.34,.23,.44,.47,.40,.45,.45,.40,.60,.40,.38
1991,.42,.49,.35,.51,.34,.53,.47,.40,.44,.28,.29,.31,.40,.41,.44,.40,.46,.34
1992,.47,.41,.47,.27,.30,.25,.08,.08,-.01,.06,.03,.21,.22,.23,.40,.35,.14,.03
1993,.34,.37,.36,.27,.28,.23,.25,.11,.12,.23,.04,.18,.23,.23,.31,.31,.20,.13
1994,.26,.02,.30,.41,.27,.43,.30,.22,.32,.41,.44,.38,.32,.30,.15,.33,.32,.39
1995,.52,.79,.47,.46,.28,.42,.45,.46,.34,.47,.44,.25,.45,.46,.56,.40,.44,.42
1996,.24,.47,.33,.32,.28,.25,.36,.48,.25,.20,.39,.37,.33,.32,.32,.31,.37,.28
1997,.30,.41,.52,.35,.36,.54,.34,.43,.52,.60,.64,.58,.47,.45,.36,.41,.44,.59
1998,.59,.87,.63,.64,.67,.76,.68,.66,.42,.43,.43,.56,.61,.61,.68,.65,.70,.43
1999,.48,.64,.32,.33,.27,.36,.38,.32,.38,.34,.37,.41,.39,.40,.56,.31,.35,.37
2000,.25,.56,.55,.57,.35,.39,.38,.42,.40,.27,.31,.28,.39,.41,.41,.49,.40,.33
2001,.46,.44,.56,.51,.58,.52,.59,.50,.52,.51,.73,.56,.54,.52,.39,.55,.54,.58
2002,.77,.79,.88,.58,.63,.53,.61,.53,.63,.54,.59,.44,.63,.64,.71,.70,.55,.59
2003,.75,.58,.60,.56,.61,.48,.58,.65,.63,.73,.53,.76,.62,.60,.59,.59,.57,.63
2004,.58,.73,.63,.61,.39,.44,.27,.47,.51,.61,.73,.51,.54,.56,.69,.55,.39,.62
2005,.75,.60,.75,.68,.63,.65,.62,.62,.72,.75,.74,.68,.68,.67,.62,.69,.63,.73
2006,.56,.73,.63,.49,.50,.66,.55,.71,.65,.69,.73,.79,.64,.63,.66,.54,.64,.69
2007,1.01,.70,.72,.75,.68,.61,.60,.60,.60,.59,.58,.49,.66,.69,.83,.72,.60,.59
2008,.30,.38,.74,.53,.49,.49,.60,.47,.61,.65,.69,.54,.54,.54,.39,.59,.52,.65
2009,.65,.53,.54,.60,.66,.65,.71,.68,.73,.65,.80,.67,.66,.65,.57,.60,.68,.73
2010,.75,.84,.92,.84,.76,.68,.64,.66,.63,.70,.82,.45,.72,.74,.75,.84,.66,.72
2011,.52,.49,.65,.65,.52,.61,.71,.73,.58,.66,.59,.60,.61,.60,.49,.60,.68,.61
2012,.50,.49,.57,.71,.77,.65,.58,.64,.71,.79,.79,.53,.64,.65,.53,.69,.62,.76
2013,.71,.63,.67,.56,.62,.71,.61,.70,.77,.69,.85,.70,.68,.67,.62,.62,.67,.77
2014,.76,.56,.79,.81,.85,.67,.59,.81,.85,.80,.67,.80,.75,.74,.67,.82,.69,.77
2015,.85,.90,.96,.77,.79,.82,.75,.83,.84,1.09,1.06,1.16,.90,.87,.85,.84,.80,1.00
2016,1.17,1.38,1.36,1.12,.96,.82,.85,1.01,.91,.88,.91,.86,1.02,1.04,1.24,1.15,.89,.90
2017,1.02,1.14,1.16,.94,.90,.72,.82,.87,.79,.90,.89,.95,.92,.92,1.01,1.00,.81,.86
2018,.82,.85,.90,.90,.83,.79,.83,.77,.80,1.01,.83,.92,.85,.86,.87,.88,.80,.88
2019,.93,.95,1.18,1.02,.86,.92,.94,.94,.92,1.02,1.00,1.10,.98,.97,.94,1.02,.93,.98
2020,1.17,1.24,1.19,1.16,***,***,***,***,***,***,***,***,***,***,1.17,***,***,***
